[INFO] [1784878916.435517907] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1784878924.073668976] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=15 confidence=0.444 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878924.165797409] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=16 confidence=0.424 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878924.269717786] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=17 confidence=0.381 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878924.367579458] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=18 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878924.465717020] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=19 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878927.464624818] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=49 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878927.565643336] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=50 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878927.663246549] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=51 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784878927.764193577] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=52 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
