[INFO] [1785218977.306371832] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1785218993.906028291] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=33 confidence=0.294 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218993.964774349] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218993.998016258] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=35 confidence=0.027 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218994.898959657] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=50 confidence=0.277 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218994.968512467] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=51 confidence=0.088 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218995.199086696] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=55 confidence=0.029 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218995.266016767] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=56 confidence=0.325 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218995.331122072] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=57 confidence=0.121 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218995.400215794] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=58 confidence=0.069 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785218995.464595384] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=59 confidence=0.434 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219004.731582617] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=65 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219004.799505040] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=66 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219004.864947412] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=67 confidence=0.407 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219004.931356771] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=68 confidence=0.115 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219017.798173255] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=76 confidence=0.090 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
