[INFO] [1785203489.910694926] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1785203504.506851331] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=33 confidence=0.294 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203504.574155379] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203504.640097872] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=35 confidence=0.027 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.605946912] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=51 confidence=0.399 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.739357952] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=53 confidence=0.325 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.773918879] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=54 confidence=0.125 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.841480310] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=55 confidence=0.041 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.906588981] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=56 confidence=0.445 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203505.972576247] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=57 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203516.071281266] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=155 confidence=0.154 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203516.138138491] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=156 confidence=-0.160 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203516.172465512] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=157 confidence=-0.168 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203516.274486891] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=158 confidence=-0.246 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785203516.339041605] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=159 confidence=-0.508 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
