[INFO] [1785209915.507337572] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1785209930.730175647] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=33 confidence=0.294 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209930.792926773] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209930.824404716] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=35 confidence=0.027 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.259989343] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=42 confidence=0.448 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.391477346] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=44 confidence=0.427 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.459791462] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=45 confidence=0.409 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.525163494] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=46 confidence=0.412 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.561231918] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=47 confidence=0.385 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209931.625100782] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=48 confidence=0.424 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.162803438] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=55 confidence=0.212 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.227273480] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=56 confidence=0.325 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.329741974] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=58 confidence=0.286 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.393145196] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=59 confidence=0.243 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.929602360] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=68 confidence=0.044 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209937.994063007] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=69 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.062922069] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=70 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.192046231] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=72 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.226140734] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=73 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.292015539] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=74 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.358676185] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=75 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.426449777] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=76 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209938.664255870] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=78 confidence=0.387 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209948.859816666] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=84 confidence=0.207 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785209948.926271636] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=85 confidence=0.208 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
