[INFO] [1784882647.719778881] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1784882673.018893537] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=26 confidence=0.424 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882673.282072857] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=27 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882673.518211475] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=28 confidence=0.228 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882673.739693028] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=29 confidence=0.348 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882673.980845874] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=30 confidence=0.372 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882674.639265449] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=33 confidence=0.349 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882674.902587476] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.182 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882675.140555045] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=35 confidence=0.165 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882675.381716237] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=36 confidence=0.229 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882675.637540922] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=37 confidence=0.233 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882678.037960923] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=47 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882678.280473442] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=48 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882678.544165591] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=49 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882678.805566015] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=50 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882679.036617662] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=51 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882685.476585284] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=78 confidence=0.301 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882685.723920029] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=79 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882685.938448441] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=80 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882686.182619170] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=81 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882692.338397109] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=106 confidence=0.360 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882692.579728043] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=107 confidence=0.375 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882692.840742650] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=108 confidence=0.389 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882693.078712594] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=109 confidence=0.400 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1784882693.305249641] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=110 confidence=0.410 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
