[INFO] [1785219138.556374107] [wrist_tracker]: RGB wrist tracker ready: rgb=/wrist/color/image_raw hint=/wrist/tracking_roi tracked=/target/tracked_2d
[WARN] [1785219153.486679274] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=33 confidence=0.294 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219153.551611016] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=34 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219153.618083831] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=35 confidence=0.027 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.519666645] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=50 confidence=0.358 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.585363241] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=51 confidence=0.108 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.784718062] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=54 confidence=0.177 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.851453583] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=55 confidence=0.288 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.884651410] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=56 confidence=0.259 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219154.984355713] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=57 confidence=0.338 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219155.019147124] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=58 confidence=0.117 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219166.588099979] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=64 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219166.651585523] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=65 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219166.719842761] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=66 confidence=0.000 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219166.785154116] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=67 confidence=0.300 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
[WARN] [1785219166.988329142] [wrist_tracker]: saved low-confidence wrist diagnostics: frame=68 confidence=0.218 dir=/home/sophie/isaac_lab/isaac_ws/rl_code/soarm100sim/logs/ros2_tracking_failures
